RO,-62.314214576794,-11.184347183671
AC,-69.934862308136,-9.4922002403091
AM,-63.610132377244,-4.0762748507194
RR,-60.85649616218,2.3847249796733
PA,-49.880984807832,-3.0515057947657
AP,-51.535954834163,1.0454727489125
TO,-48.210917899067,-9.2835897563014
MA,-44.926581727874,-4.2594289077438
PI,-42.403925016194,-6.7226165635632
CE,-39.506363227045,-4.9565470019658
RN,-36.610594908031,-5.9812148764299
PB,-36.643024165918,-7.0623927915354
PE,-36.660384797706,-8.2211228070784
AL,-36.484517889913,-9.5026915794431
SE,-37.286246749821,-10.620106227993
BA,-40.430194560992,-12.915203706321
MG,-44.103016963929,-19.582422062453
ES,-40.824699626545,-19.869470484642
RJ,-42.817865998324,-22.289829673013
SP,-48.647156271741,-22.14115583679
PR,-51.874025579874,-24.385519113863
SC,-50.729399944512,-27.258033867112
RS,-52.614360111554,-28.957126698145
MS,-54.488999183086,-21.215619976646
MT,-55.593979337582,-13.555777706457
GO,-49.466679594623,-16.190646894965
DF,-47.7967722517,-15.7806991626
